1.4635;1.8734;-4.0564;1.748;0.00148;11.8;10.16;1;15.33;1;212.69;0.99;-11.126;-9.907;-21.851;26.447;113020;HIP113020 Gli
-2.1437;0.4363;4.3088;1.542;0.00537;10.4;8.82;1;15.75;1;206.94;0.58;-120.802;-8.029;8.352;121.357;54211;HIP54211 Gli
-2.8995;0.7303;3.8476;1.298;0.04222;8.16;6.6;1;15.89;1;205.22;0.39;-11.835;-19.758;-33.738;40.85;49908;HIP49908 HD88230 Gli
4.0597;-2.6047;-0.999;-0.63;0.00039;13.26;11.72;1;16.06;1;203.01;14.42;0;0;0;0;82725;HIP82725 Gli
2.9189;3.2213;2.3333;-0.63;0.00053;12.92;11.39;1;16.08;1;202.69;19.48;0;0;0;0;85605;HIP85605 Gli
3.3475;-0.64;-3.5727;1.478;0.0065;10.19;8.66;1;16.1;1;202.53;0.66;15.797;-9.637;-14.615;23.58;106440;HIP106440 HD204961 Gli
-3.7153;-1.4074;-3.1083;0.946;0.3339;5.92;4.43;1;16.44;1;198.24;0.42;36.453;-9.816;-70.58;80.042;19849;HIP19849 HD26965 Gli Omi2 Eri Keid
4.8596;-1.2127;-0.5826;1.748;0.00083;12.43;10.94;1;16.44;1;198.32;1.23;0;0;0;0;86214;HIP86214 Gli
-0.9054;4.8339;-1.1417;1.713;0.00151;11.77;10.29;1;16.46;1;198.07;1.03;20.076;1.98;-0.601;20.182;112460;HIP112460 Gli
4.3227;2.4852;1.0025;0.902;0.49062;5.5;4.03;1;16.58;1;196.62;0.7;16.661;-6.397;-8.512;19.773;88601;HIP88601 HD165341 Gli 70Oph
3.4167;3.7606;-0.7964;0.192;10.19598;2.2;0.76;1;16.77;1;194.44;0.48;-32.303;-16.312;-2.867;36.301;97649;HIP97649 HD187642 Gli Alp Aql Altair
0.1317;1.2364;-5.0617;-0.63;0.00053;12.9;11.49;1;16.99;1;191.86;8.99;0;0;0;0;1242;HIP1242 Gli
-2.5497;3.4021;3.3155;1.677;0.00108;12.14;10.8;1;17.58;1;185.48;0.77;73.858;-61.294;-80.219;125.088;57544;HIP57544 Gli
1.6228;-0.2404;5.1773;1.609;0.00946;9.79;8.46;1;17.7;1;184.13;0.69;64.67;3.395;20.481;67.921;67155;HIP67155 HD119850 Gli
3.9251;2.2811;-3.0871;-0.63;0.00064;12.71;11.41;1;17.9;1;182.15;2.02;0;0;0;0;103039;HIP103039 Gli
-4.6429;2.8903;0.7018;-0.63;0.00111;12.11;10.82;1;17.98;1;181.36;2.02;0;0;0;0;21088;HIP21088 Gli
